reaction_id,article_id,entity,entity_type,asian_status,reaction,reaction_reason,date
reaction_1,Article_1,"Julie Morita, M.D.",professionals,Asian,Cannot be inferred,,2020-04-21
reaction_2,Article_1,Japanese Americans,victims,Asian,Cannot be inferred,,2020-04-21
reaction_3,Article_1,Asian Americans,victims,Asian,Support Asian Americans,"Now, I must speak out in the face of new attacks on Asian Americans.",2020-04-21
reaction_4,Article_1,my parents,victims,Asian,Support Asian Americans,"They would begin to speak out against the injustices of that time, becoming activists in their own right. As fear, discrimination and violence toward Muslims increased, they spoke out against these injustices. Normally soft-spoken and unassuming, my parents shared their experiences in panel discussions, newsletters and as featured guests of a multimedia exhibit depicting the internment of Japanese Americans, 'Then They Came for Me.'",2020-04-21
reaction_5,Article_1,my three brothers,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_6,Article_1,Gilbert Gee,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_7,Article_1,Thu Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_8,Article_1,Shanise Criss,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_9,Article_1,Quyen Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_10,Article_1,David Chae,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_11,Article_1,Chicago Department of Public Health,government_bodies,Not applicable,Cannot be inferred,Cannot be inferred,2020-04-21
reaction_12,Article_1,Robert Wood Johnson Foundation,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-04-21
reaction_13,Article_1,Wrap-on Tools,business_entities,Not applicable,Cannot be inferred,,2020-04-21
reaction_14,Article_1,Edgewater Beach Hotel,business_entities,Not applicable,Cannot be inferred,,2020-04-21
reaction_15,Article_2,Donald Trump,politicians,Non-Asian,Support Asian Americans,"'These are incredible people, they love our country and I'm not going to let it happen.'",2020-03-26
reaction_16,Article_2,Theresa Mah,politicians,Asian,Cannot be inferred,,2020-03-26
reaction_17,Article_2,Mabel Menard,professionals,Asian,Support Asian Americans,"'Menard, president of Chicago's chapter of the advocacy group OCA-Asian Pacific American Advocates, said the tense environment reminds her of the 1882 Chinese Exclusion Act barring Chinese immigrants from entering the country, the first immigration law to exclude an ethnic group, as well as the World War II Japanese internment camps forcing Japanese Americans into incarceration.'",2020-03-26
reaction_18,Article_2,Manjusha Kulkarni,professionals,Asian,Cannot be inferred,,2020-03-26
reaction_19,Article_2,Ro Nguyen,victims,Asian,Cannot be inferred,,2020-03-26
reaction_20,Article_2,Tuyet Anh,victims,Asian,Cannot be inferred,,2020-03-26
reaction_21,Article_2,Ellen Dong,victims,Asian,Cannot be inferred,,2020-03-26
reaction_22,Article_2,Unknown Attacker,perpetrators,Non-Asian,Cannot be inferred,,2020-03-26
reaction_23,Article_2,friend of Ro Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_24,Article_2,bar staff,other_individuals,Cannot be inferred,Cannot be inferred,The bar's staff kicked the man out.,2020-03-26
reaction_25,Article_2,two men on the train,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_26,Article_2,Chicagoans,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_27,Article_2,Chicago Police,law_enforcement_agencies,Not applicable,Government takes actions to stop AAPI hate,"'We strongly urge anyone who may be a victim of threatening or harassing behavior to contact Chicago police, as we will investigate and work with our partners to prosecute these acts.'",2020-03-26
reaction_28,Article_2,OCA-Asian Pacific American Advocates,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-03-26
reaction_29,Article_2,Asian Pacific Policy and Planning Council,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"Asian American organizations last week launched the #WashTheHate campaign on social media, highlighting stories of coronavirus-related racism.",2020-03-26
reaction_30,Article_2,Chinese for Affirmative Action,ngo_or_advocacy_groups,Not applicable,Advocacy/take actions for changes,The Asian Pacific Policy and Planning Council and Chinese for Affirmative Action groups also started collecting reports of incidents of hostility against Asians.,2020-03-26
reaction_31,Article_2,Q Ideas,business_entities,Not applicable,Cannot be inferred,,2020-03-26
reaction_32,Article_3,Sonny Vinuya,victims,Asian,Cannot be inferred,Exact sentence(s) from relevant_sentences,2020-07-12
reaction_33,Article_3,Karthick Ramakrishnan,professionals,Asian,Cannot be inferred,,2020-07-12
reaction_34,Article_3,Joe Biden,politicians,Non-Asian,Support Asian Americans,Biden at a June 27 town hall for Asian American voters slammed Trump's 'dangerous theories' as xenophobic.,2020-07-12
reaction_35,Article_3,Barack Obama,politicians,Non-Asian,Support Asian Americans,Trump's words have angered many Asian Americans and drawn condemnation from Trump's Democratic rival Joe Biden and former President Barack Obama.,2020-07-12
reaction_36,Article_3,Kellyanne Conway,other_individuals,Non-Asian,Support Asian Americans,"Republicans have also denounced the racist slur, notably Kellyanne Conway, a White House counselor who is married to an Asian American, George Conway, whose mother was from the Philippines.",2020-07-12
reaction_37,Article_3,George Conway,other_individuals,Asian,Support Asian Americans,"Republicans have also denounced the racist slur, notably Kellyanne Conway, a White House counselor who is married to an Asian American, George Conway, whose mother was from the Philippines.",2020-07-12
reaction_38,Article_3,Kayleigh McEnany,other_individuals,Non-Asian,Cannot be inferred,,2020-07-12
reaction_39,Article_3,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-07-12
reaction_40,Article_3,Las Vegas Asian Chamber of Commerce,community_groups,Not applicable,Cannot be inferred,,2020-07-12
reaction_41,Article_4,Cook County State's Attorney Kim Foxx,politicians,Non-Asian,Government takes actions to stop AAPI hate,"'Foxx, who in her remarks dinged former President Donald Trump for what she said was espousing 'white supremacy' during the COVID-19 pandemic, noted her office's role in prosecuting suspects in the three homicides in Chinatown and Bridgeport.'",2021-03-28
reaction_42,Article_4,Cook County Board President Toni Preckwinkle,politicians,Non-Asian,Cannot be inferred,,2021-03-28
reaction_43,Article_4,Illinois Department of Human Services Secretary Grace Hou,politicians,Asian,Cannot be inferred,,2021-03-28
reaction_44,Article_4,Chris Huang,professionals,Asian,Cannot be inferred,"Chris Huang, president of the Chinatown Security Foundation, discussed plans to add more security cameras to the neighborhood but said the United States's deep-rooted prejudice against Asians cannot be solved by that alone. 'This attitude of Asians being looked down on, taken advantage of, treated unfairly have been here since my grandfather came to work on the railroad in the early 1900s,' Huang said.",2021-03-28
reaction_45,Article_4,Grace Chan McKibben,professionals,Asian,Support Asian Americans,"Grace Chan McKibben, executive director of CBCAC, said Saturday's protest was part of a 'growing movement of Asian Americans demanding that our voices be heard.'",2021-03-28
reaction_46,Article_4,Nancy Chen,professionals,Asian,Cannot be inferred,AARP Illinois executive council member Nancy Chen led the crowd in a chant of 'enough is enough' after sharing her personal fears as older Asian Americans face heightened vulnerability in the recent violence.,2021-03-28
reaction_47,Article_4,Asian Women,victims,Asian,Support Asian Americans,"Hundreds of people huddled with signs reading '#StopAsianHate' on Saturday afternoon steps from Chinatown Square in Chicago's latest protest against anti-Asian racism after the shooting spree across Atlanta-area spas this month that left eight dead, six of them women of Asian descent.",2021-03-28
reaction_48,Article_4,Weizhong Xiong,victims,Asian,Cannot be inferred,,2021-03-28
reaction_49,Article_4,Huayi Bian,victims,Asian,Cannot be inferred,,2021-03-28
reaction_50,Article_4,Shuai Guan,victims,Asian,Cannot be inferred,,2021-03-28
reaction_51,Article_4,Julie Moy,other_individuals,Asian,Attending marches/rallies,"'We decided to join because there aren't many rallies against Asian hate, and it just needs to be more of a thing,' Moy said.",2021-03-28
reaction_52,Article_4,Jason,other_individuals,Asian,Support Asian Americans,"'I feel that it's important to show our support, especially since what happened to the people in Georgia.'",2021-03-28
reaction_53,Article_4,Chinatown Security Foundation,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"The 2 p.m. rally was led by the Chinatown Security Foundation and the Coalition for a Better Chinese American Community, with more than 65 other Asian American organizations in attendance, according to an event summary.",2021-03-28
reaction_54,Article_4,Coalition for a Better Chinese American Community,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"The 2 p.m. rally was led by the Chinatown Security Foundation and the Coalition for a Better Chinese American Community, with more than 65 other Asian American organizations in attendance, according to an event summary.",2021-03-28
reaction_55,Article_4,Center for the Study of Hate and Extremism,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-28
reaction_56,Article_4,AARP Illinois,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-28
reaction_57,Article_4,CBCAC,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"Grace Chan McKibben, executive director of CBCAC, said Saturday's protest was part of a 'growing movement of Asian Americans demanding that our voices be heard.'",2021-03-28
reaction_58,Article_5,Senator Tammy Duckworth,politicians,Asian,Cannot be inferred,,2021-03-21
reaction_59,Article_5,President Joe Biden,politicians,Non-Asian,Cannot be inferred,,2021-03-21
reaction_60,Article_5,"Ald. Byron Sigcho-Lopez, 25th",politicians,Non-Asian,Support Asian Americans,"'Now, as people are finally listening, Chicago and the rest of the U.S. must come together to condemn what he described as an 'act of terrorism.'",2021-03-21
reaction_61,Article_5,Mayor Lori Lightfoot,politicians,Non-Asian,Politicians initiated anti-Asian hate and racism,"His comments echo Mayor Lori Lightfoot's Wednesday remarks that 'this wasn't anything random, that it was intentional, and it feels to me, as a former member of law enforcement, like a hate crime.'",2021-03-21
reaction_62,Article_5,Executive Director Hong Liu,professionals,Asian,Support Asian Americans,"'We've got to work together to stop the crime, to stop the violence and stop the anti-Asian hate crime,' Liu said.",2021-03-21
reaction_63,Article_5,"David Wu, executive director of the educational Pui Tak Center",professionals,Asian,Cannot be inferred,,2021-03-21
reaction_64,Article_5,"Grace Chan McKibben, the executive director of Coalition for a Better Chinese American Community",professionals,Asian,Cannot be inferred,,2021-03-21
reaction_65,Article_5,Robert Aaron Long,perpetrators,Non-Asian,Cannot be inferred,,2021-03-21
reaction_66,Article_5,Asian Women,victims,Asian,Support Asian Americans,"Chicago's Chinatown leaders gathered Thursday to send a message that the Asian American community would stand strong in the aftermath of a shooting spree across three Atlanta-area spas that killed eight people, six of them Asian women.",2021-03-21
reaction_67,Article_5,Asian American Community,victims,Asian,Cannot be inferred,,2021-03-21
reaction_68,Article_5,Chinese Residents,other_individuals,Asian,Cannot be inferred,,2021-03-21
reaction_69,Article_5,Small Business Owners,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-21
reaction_70,Article_5,Students,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-21
reaction_71,Article_5,Chicago Police Department,law_enforcement_agencies,Not applicable,Government takes actions to stop AAPI hate,Lightfoot announced on Wednesday that Chicago police units would step up patrols in Asian American communities such as Chinatown.,2021-03-21
reaction_72,Article_5,Midwest Asian Health Association,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-21
reaction_73,Article_5,Coalition for a Better Chinese American Community,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-21
reaction_74,Article_8,Kamala Harris,politicians,Asian,Cannot be inferred,,2021-04-19
reaction_75,Article_8,Peter Ho Davies,professionals,Asian,Cannot be inferred,,2021-04-19
reaction_76,Article_8,Asian Women,victims,Asian,Cannot be inferred,,2021-04-19
reaction_77,Article_8,Chinese-Americans,victims,Asian,Cannot be inferred,,2021-04-19
reaction_78,Article_8,my Jewish mom,other_individuals,Non-Asian,Cannot be inferred,,2021-04-19
reaction_79,Article_8,my Chinese dad,other_individuals,Asian,Cannot be inferred,,2021-04-19
reaction_80,Article_8,boy on the other side of the cafeteria,other_individuals,Cannot be inferred,Support Asian Americans,I told him it was racist.,2021-04-19
reaction_81,Article_8,my bubbe,other_individuals,Non-Asian,Cannot be inferred,,2021-04-19
reaction_82,Article_8,my nai nai,other_individuals,Asian,Cannot be inferred,,2021-04-19
reaction_83,Article_9,President Biden,politicians,Non-Asian,Support Asian Americans,"Last month, Biden signed an executive order condemning anti-Asian racism and directed the Department of Justice to tackle the problem more aggressively.",2021-02-13
reaction_84,Article_9,Attorney General Maura Healey,politicians,Non-Asian,Government takes actions to stop AAPI hate,A bill to reform the state's hate crime statute is pending in the Legislature and would expand the law to cover harassment.,2021-02-13
reaction_85,Article_9,Boston City Councilor Ed Flynn,politicians,Non-Asian,Support Asian Americans,They need to know that we're on their side and we're going to do everything we can to be helpful when there is discrimination and bullying and intimidation or name calling.,2021-02-13
reaction_86,Article_9,Russell Jeung,professionals,Asian,Cannot be inferred,Exact sentence(s) from relevant_sentences,2021-02-13
reaction_87,Article_9,Jessica Wong,professionals,Asian,Cannot be inferred,,2021-02-13
reaction_88,Article_9,Vicha Ratanapakdee,victims,Asian,Cannot be inferred,,2021-02-13
reaction_89,Article_9,Filipino man,victims,Asian,Cannot be inferred,,2021-02-13
reaction_90,Article_9,Asian-American shopper,victims,Asian,Cannot be inferred,,2021-02-13
reaction_91,Article_9,Chinese classmate,victims,Asian,Cannot be inferred,,2021-02-13
reaction_92,Article_9,Sam Hyun,professionals,Asian,Cannot be inferred,,2021-02-13
reaction_93,Article_9,Ben Hires,other_individuals,Cannot be inferred,Support Asian Americans,"A lot of the folks that are being targeted, they're not going to be able to defend themselves or they're not going to report it so we need to the community speak up for them, Hires said.",2021-02-13
reaction_94,Article_9,Department of Justice,government_bodies,Not applicable,Support Asian Americans,"Last month, Biden signed an executive order condemning anti-Asian racism and directed the Department of Justice to tackle the problem more aggressively.",2021-02-13
reaction_95,Article_9,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-02-13
reaction_96,Article_9,Massachusetts Asian American Commission,ngo_or_advocacy_groups,Not applicable,Government takes actions to stop AAPI hate,The state's Asian American Commission has developed a system for collecting reports about hate incidents and has been using its online platforms to promote resources to combat the violence.,2021-02-13
reaction_97,Article_9,Boston Chinatown Neighborhood Center,community_groups,Not applicable,Cannot be inferred,,2021-02-13
reaction_98,Article_10,President Joe Biden,politicians,Non-Asian,Cannot be inferred,,2020-04-10
reaction_99,Article_10,President Trump,politicians,Non-Asian,Support Asian Americans,"A week after Trump started publicly calling coronavirus the 'Chinese virus' and defended his use of the label against critics who accused him of being racist, the president implored people on Twitter to 'protect our Asian American community.'",2020-04-10
reaction_100,Article_10,Joel Finkelstein,professionals,Cannot be inferred,Cannot be inferred,Cannot be inferred,2020-04-10
reaction_101,Article_10,Jeremy Blackburn,professionals,Cannot be inferred,Cannot be inferred,,2020-04-10
reaction_102,Article_10,Russell Jeung,professionals,Asian,Cannot be inferred,Exact sentence(s) from relevant_sentences,2020-04-10
reaction_103,Article_10,Charissa Cheah,professionals,Asian,Cannot be inferred,,2020-04-10
reaction_104,Article_10,Darren Linvill,professionals,Cannot be inferred,Cannot be inferred,,2020-04-10
reaction_105,Article_10,Asian Woman,victims,Asian,Cannot be inferred,,2020-04-10
reaction_106,Article_10,Woman in San Francisco,victims,Cannot be inferred,Cannot be inferred,,2020-04-10
reaction_107,Article_10,Yang Zhang,other_individuals,Asian,Cannot be inferred,,2020-04-10
reaction_108,Article_10,Chinese Student,other_individuals,Asian,Cannot be inferred,,2020-04-10
reaction_109,Article_10,Passenger on the Bus,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-10
reaction_110,Article_10,Man Yelling Expletives,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-10
reaction_111,Article_10,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-04-10
