reaction_id,article_id,entity,entity_type,asian_status,reaction,reaction_reason
reaction_1,Article_1,Julie Morita,professionals,Asian,Cannot be inferred,
reaction_10,Article_1,Author's parents,other_individuals,Asian,Speaking up on social media,"They would begin to speak out against the injustices of that time, becoming activists in their own right. As fear, discrimination and violence toward Muslims increased, they spoke out against these injustices. In recent years, they raised their voices again as federal policies became more punitive and restrictive for immigrants and refugees. Normally soft-spoken and unassuming, my parents shared their experiences in panel discussions, newsletters and as featured guests of a multimedia exhibit depicting the internment of Japanese Americans, 'Then They Came for Me.'"
reaction_100,Article_6,Min Zhou,professionals,Asian,Cannot be inferred,
reaction_1000,Article_52,Spokeswoman,other_individuals,Cannot be inferred,Launching a hate-crime task force,"Last fall the US attorney's office in Massachusetts created a civil rights task force, and much of its current focus is on preventing hate crimes against the Asian American community, according to a spokeswoman."
reaction_10000,Article_486,George Floyd,victims,Non-Asian,Cannot be inferred,
reaction_10001,Article_486,65-year-old Asian American Woman,victims,Asian,Cannot be inferred,"In a surveillance video, staff of the luxury apartment in front of which the assault took place closed the door in front of the grievously injured woman."
reaction_10002,Article_486,Darnella Frazier,other_individuals,Cannot be inferred,Cannot be inferred,
reaction_10003,Article_486,Campaign for Southern Equality,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_10004,Article_486,Anti-Defamation League,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,
reaction_10005,Article_486,Asian Americans and Pacific Islanders Women Lead,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"On March 20, Chong set up her dumpling stand at the ASAP Farmers Market with a mission: to donate all proceeds to Asian Americans and Pacific Islanders Women Lead and NQPIA, the National Queer Asian Pacific Islander Alliance."
reaction_10006,Article_486,National Queer Asian Pacific Islander Alliance,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"On March 20, Chong set up her dumpling stand at the ASAP Farmers Market with a mission: to donate all proceeds to Asian Americans and Pacific Islanders Women Lead and NQPIA, the National Queer Asian Pacific Islander Alliance."
reaction_10007,Article_486,Katie Button restaurants,business_entities,Not applicable,Cannot be inferred,
reaction_10008,Article_486,ASAP Farmers Market,business_entities,Not applicable,Support Asian Americans,"On March 20, Chong set up her dumpling stand at the ASAP Farmers Market with a mission: to donate all proceeds to Asian Americans and Pacific Islanders Women Lead and NQPIA, the National Queer Asian Pacific Islander Alliance."
reaction_10009,Article_486,Authentic Asheville,business_entities,Not applicable,Cannot be inferred,"Erin McGrady, co-owner of Authentic Asheville and a Korean-American, said Asian-owned businesses deserve extra attention right now."
