reaction_id,article_id,entity,entity_type,asian_status,reaction,reaction_reason,date
reaction_1,Article_1,"Julie Morita, M.D.",professionals,Asian,Cannot be inferred,,2020-04-21
reaction_2,Article_1,Japanese Americans,victims,Asian,Cannot be inferred,,2020-04-21
reaction_3,Article_1,Asian Americans,victims,Asian,Support Asian Americans,"Now, I must speak out in the face of new attacks on Asian Americans.",2020-04-21
reaction_4,Article_1,my parents,victims,Asian,Support Asian Americans,"But my parents were spurred to action after the 9/11 terrorist attacks. As fear, discrimination and violence toward Muslims increased, they spoke out against these injustices.",2020-04-21
reaction_5,Article_1,my three brothers,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_6,Article_1,Gilbert Gee,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_7,Article_1,Thu Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_8,Article_1,Shanise Criss,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_9,Article_1,Quyen Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_10,Article_1,David Chae,other_individuals,Cannot be inferred,Cannot be inferred,,2020-04-21
reaction_11,Article_1,Chicago Department of Public Health,government_bodies,Not applicable,Support Asian Americans,"I can't remain silent as I witness the bigotry that has percolated in Chicago and across the country in response to the novel coronavirus pandemic that began in Wuhan, China.",2020-04-21
reaction_12,Article_1,Robert Wood Johnson Foundation,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-04-21
reaction_13,Article_1,Wrap-on Tools,business_entities,Not applicable,Cannot be inferred,,2020-04-21
reaction_14,Article_1,Edgewater Beach Hotel,business_entities,Not applicable,Cannot be inferred,,2020-04-21
reaction_15,Article_2,Donald Trump,politicians,Non-Asian,Support Asian Americans,"'Yes, it seems that there could be a little bit of nasty language toward the Asian Americans in our country,' he admitted. 'I don't like that at all. These are incredible people, they love our country and I'm not going to let it happen.'",2020-03-26
reaction_16,Article_2,Theresa Mah,politicians,Asian,Cannot be inferred,,2020-03-26
reaction_17,Article_2,Mabel Menard,professionals,Asian,Fostering conversations about anti-Asian hate,"'Menard, president of Chicago's chapter of the advocacy group OCA-Asian Pacific American Advocates, said the tense environment reminds her of the 1882 Chinese Exclusion Act barring Chinese immigrants from entering the country, the first immigration law to exclude an ethnic group, as well as the World War II Japanese internment camps forcing Japanese Americans into incarceration.'",2020-03-26
reaction_18,Article_2,Manjusha Kulkarni,professionals,Asian,Cannot be inferred,,2020-03-26
reaction_19,Article_2,Ro Nguyen,victims,Asian,Cannot be inferred,,2020-03-26
reaction_20,Article_2,Tuyet Anh,victims,Asian,Cannot be inferred,,2020-03-26
reaction_21,Article_2,Ellen Dong,victims,Asian,Cannot be inferred,,2020-03-26
reaction_22,Article_2,Unknown Attacker,perpetrators,Non-Asian,Cannot be inferred,,2020-03-26
reaction_23,Article_2,friend of Ro Nguyen,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_24,Article_2,bar staff,other_individuals,Cannot be inferred,Cannot be inferred,The bar's staff kicked the man out.,2020-03-26
reaction_25,Article_2,two men on the train,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_26,Article_2,Chicagoans,other_individuals,Cannot be inferred,Cannot be inferred,,2020-03-26
reaction_27,Article_2,Chicago Police,law_enforcement_agencies,Not applicable,Support Asian Americans,"'There is absolutely no place in Chicago for hatred or bigotry of any kind,' police spokesman Anthony Guglielmi said.",2020-03-26
reaction_28,Article_2,OCA-Asian Pacific American Advocates,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-03-26
reaction_29,Article_2,Asian Pacific Policy and Planning Council,ngo_or_advocacy_groups,Not applicable,Speaking up on social media,"Asian American organizations last week launched the #WashTheHate campaign on social media, highlighting stories of coronavirus-related racism.",2020-03-26
reaction_30,Article_2,Chinese for Affirmative Action,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,The Asian Pacific Policy and Planning Council and Chinese for Affirmative Action groups also started collecting reports of incidents of hostility against Asians.,2020-03-26
reaction_31,Article_2,Q Ideas,business_entities,Not applicable,Cannot be inferred,,2020-03-26
reaction_32,Article_3,Sonny Vinuya,victims,Asian,Support Asian Americans,"Vinuya said he's expressed his concerns about the anti-Asian slur to Trump's team, especially as he's trying to help his 600-plus members overcome the virus-related stigma and discrimination evident against Asian American and Asian immigrant small business owners in Las Vegas.",2020-07-12
reaction_33,Article_3,Karthick Ramakrishnan,professionals,Asian,Cannot be inferred,,2020-07-12
reaction_34,Article_3,Joe Biden,politicians,Non-Asian,Support Asian Americans,Trump's words have angered many Asian Americans and drawn condemnation from Trump's Democratic rival Joe Biden and former President Barack Obama.,2020-07-12
reaction_35,Article_3,Barack Obama,politicians,Non-Asian,Support Asian Americans,Trump's words have angered many Asian Americans and drawn condemnation from Trump's Democratic rival Joe Biden and former President Barack Obama.,2020-07-12
reaction_36,Article_3,Kellyanne Conway,other_individuals,Non-Asian,Support Asian Americans,"Republicans have also denounced the racist slur, notably Kellyanne Conway, a White House counselor who is married to an Asian American, George Conway, whose mother was from the Philippines.",2020-07-12
reaction_37,Article_3,George Conway,other_individuals,Asian,Support Asian Americans,"Republicans have also denounced the racist slur, notably Kellyanne Conway, a White House counselor who is married to an Asian American, George Conway, whose mother was from the Philippines.",2020-07-12
reaction_38,Article_3,Kayleigh McEnany,other_individuals,Non-Asian,Cannot be inferred,,2020-07-12
reaction_39,Article_3,Stop AAPI Hate,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2020-07-12
reaction_40,Article_3,Las Vegas Asian Chamber of Commerce,community_groups,Not applicable,Cannot be inferred,,2020-07-12
reaction_41,Article_4,Cook County State's Attorney Kim Foxx,politicians,Non-Asian,Takes actions to stop AAPI hate,"'Foxx, who in her remarks dinged former President Donald Trump for what she said was espousing 'white supremacy' during the COVID-19 pandemic, noted her office's role in prosecuting suspects in the three homicides in Chinatown and Bridgeport.'",2021-03-28
reaction_42,Article_4,Cook County Board President Toni Preckwinkle,politicians,Non-Asian,Cannot be inferred,,2021-03-28
reaction_43,Article_4,Illinois Department of Human Services Secretary Grace Hou,politicians,Asian,Cannot be inferred,,2021-03-28
reaction_44,Article_4,Chris Huang,professionals,Asian,Fostering conversations about anti-Asian hate,"'This attitude of Asians being looked down on, taken advantage of, treated unfairly have been here since my grandfather came to work on the railroad in the early 1900s,' Huang said.",2021-03-28
reaction_45,Article_4,Grace Chan McKibben,professionals,Asian,Support Asian Americans,"Grace Chan McKibben, executive director of CBCAC, said Saturday's protest was part of a 'growing movement of Asian Americans demanding that our voices be heard.'",2021-03-28
reaction_46,Article_4,Nancy Chen,professionals,Asian,Support Asian Americans,'We should not have to be worried about walking on the street in our neighborhood and worry about being attacked and killed.',2021-03-28
reaction_47,Article_4,Asian Women,victims,Asian,Attending marches/rallies,"Hundreds of people huddled with signs reading '#StopAsianHate' on Saturday afternoon steps from Chinatown Square in Chicago's latest protest against anti-Asian racism after the shooting spree across Atlanta-area spas this month that left eight dead, six of them women of Asian descent.",2021-03-28
reaction_48,Article_4,Weizhong Xiong,victims,Asian,Cannot be inferred,,2021-03-28
reaction_49,Article_4,Huayi Bian,victims,Asian,Cannot be inferred,,2021-03-28
reaction_50,Article_4,Shuai Guan,victims,Asian,Cannot be inferred,,2021-03-28
reaction_51,Article_4,Julie Moy,other_individuals,Asian,Attending marches/rallies,"'We decided to join because there aren't many rallies against Asian hate, and it just needs to be more of a thing,' Moy said.",2021-03-28
reaction_52,Article_4,Jason,other_individuals,Asian,Support Asian Americans,"'I feel that it's important to show our support, especially since what happened to the people in Georgia.'",2021-03-28
reaction_53,Article_4,Chinatown Security Foundation,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"The 2 p.m. rally was led by the Chinatown Security Foundation and the Coalition for a Better Chinese American Community, with more than 65 other Asian American organizations in attendance, according to an event summary.",2021-03-28
reaction_54,Article_4,Coalition for a Better Chinese American Community,ngo_or_advocacy_groups,Not applicable,Attending marches/rallies,"The 2 p.m. rally was led by the Chinatown Security Foundation and the Coalition for a Better Chinese American Community, with more than 65 other Asian American organizations in attendance, according to an event summary.",2021-03-28
reaction_55,Article_4,Center for the Study of Hate and Extremism,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-28
reaction_56,Article_4,AARP Illinois,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-28
reaction_57,Article_4,CBCAC,ngo_or_advocacy_groups,Not applicable,Support Asian Americans,"Grace Chan McKibben, executive director of CBCAC, said Saturday's protest was part of a 'growing movement of Asian Americans demanding that our voices be heard.'",2021-03-28
reaction_58,Article_5,Senator Tammy Duckworth,politicians,Asian,Cannot be inferred,,2021-03-21
reaction_59,Article_5,President Joe Biden,politicians,Non-Asian,Cannot be inferred,,2021-03-21
reaction_60,Article_5,"Ald. Byron Sigcho-Lopez, 25th",politicians,Non-Asian,Support Asian Americans,"'Now, as people are finally listening, Chicago and the rest of the U.S. must come together to condemn what he described as an 'act of terrorism.'",2021-03-21
reaction_61,Article_5,Mayor Lori Lightfoot,politicians,Non-Asian,Support Asian Americans,"His comments echo Mayor Lori Lightfoot's Wednesday remarks that 'this wasn't anything random, that it was intentional, and it feels to me, as a former member of law enforcement, like a hate crime.'",2021-03-21
reaction_62,Article_5,Executive Director Hong Liu,professionals,Asian,Support Asian Americans,"'We've got to work together to stop the crime, to stop the violence and stop the anti-Asian hate crime,' Liu said.",2021-03-21
reaction_63,Article_5,"David Wu, executive director of the educational Pui Tak Center",professionals,Asian,Cannot be inferred,,2021-03-21
reaction_64,Article_5,"Grace Chan McKibben, the executive director of Coalition for a Better Chinese American Community",professionals,Asian,Cannot be inferred,,2021-03-21
reaction_65,Article_5,Robert Aaron Long,perpetrators,Non-Asian,Cannot be inferred,,2021-03-21
reaction_66,Article_5,Asian Women,victims,Asian,Calling for being united,"Chicago's Chinatown leaders gathered Thursday to send a message that the Asian American community would stand strong in the aftermath of a shooting spree across three Atlanta-area spas that killed eight people, six of them Asian women.",2021-03-21
reaction_67,Article_5,Asian American Community,victims,Asian,Cannot be inferred,,2021-03-21
reaction_68,Article_5,Chinese Residents,other_individuals,Asian,Cannot be inferred,,2021-03-21
reaction_69,Article_5,Small Business Owners,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-21
reaction_70,Article_5,Students,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-21
reaction_71,Article_5,Chicago Police Department,law_enforcement_agencies,Not applicable,Increasing patrols,Lightfoot announced on Wednesday that Chicago police units would step up patrols in Asian American communities such as Chinatown.,2021-03-21
reaction_72,Article_5,Midwest Asian Health Association,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-21
reaction_73,Article_5,Coalition for a Better Chinese American Community,ngo_or_advocacy_groups,Not applicable,Cannot be inferred,,2021-03-21
reaction_74,Article_6,Theresa Mah,politicians,Asian,Support Asian Americans,"It's important to recognize Asian Americans in all their dimensions and afford us our full humanity rather than thinking of us only in terms of those success stories or the invisible, cheap labor that is also another prevalent view of our community.",2021-03-23
reaction_75,Article_6,Summer Chen,victims,Asian,Attending marches/rallies,"This past Saturday, Chen, the Mandarin teacher from Bridgeport, stepped onto a bench at the foot of the Illinois Centennial Monument in Logan Square and peered out into the sea of hundreds of faces during a 'Stop Asian Hate' rally.",2021-03-23
reaction_76,Article_6,Sung Yeon Choimorrow,professionals,Asian,Cannot be inferred,,2021-03-23
reaction_77,Article_6,Grace Pai,professionals,Asian,Support Asian Americans,"""Grace Pai, organizing director of the Chicago chapter of Asian Americans Advancing Justice, said the idea that the attacks were not racially motivated is 'ridiculous.'""",2021-03-23
reaction_78,Article_6,Lan Ho,professionals,Asian,Cannot be inferred,,2021-03-23
reaction_79,Article_6,Robert Aaron Long,perpetrators,Non-Asian,Cannot be inferred,,2021-03-23
reaction_80,Article_6,Asian Women Victims,victims,Asian,Cannot be inferred,,2021-03-23
reaction_81,Article_6,Soon Chung Park,victims,Asian,Cannot be inferred,,2021-03-23
reaction_82,Article_6,Hyun Jung Grant,victims,Asian,Cannot be inferred,,2021-03-23
reaction_83,Article_6,Suncha Kim,victims,Asian,Cannot be inferred,,2021-03-23
reaction_84,Article_6,Yong Ae Yue,victims,Asian,Cannot be inferred,,2021-03-23
reaction_85,Article_6,Delaina Ashley Yaun,victims,Asian,Cannot be inferred,,2021-03-23
reaction_86,Article_6,Daoyou Feng,victims,Asian,Cannot be inferred,,2021-03-23
reaction_87,Article_6,Xiaojie Tan,victims,Asian,Cannot be inferred,,2021-03-23
reaction_88,Article_6,84-year-old Thai man,victims,Asian,Cannot be inferred,,2021-03-23
reaction_89,Article_6,teenage boys,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-23
reaction_90,Article_6,man,other_individuals,Cannot be inferred,Cannot be inferred,,2021-03-23
reaction_91,Article_6,Sara Zhang,professionals,Asian,Cannot be inferred,,2021-03-23
reaction_92,Article_8,Kamala Harris,politicians,Asian,Cannot be inferred,,2021-04-19
reaction_93,Article_8,Peter Ho Davies,professionals,Asian,Cannot be inferred,,2021-04-19
reaction_94,Article_8,Asian Women,victims,Asian,Cannot be inferred,,2021-04-19
reaction_95,Article_8,Chinese-Americans,victims,Asian,Cannot be inferred,,2021-04-19
reaction_96,Article_8,my Jewish mom,other_individuals,Non-Asian,Cannot be inferred,,2021-04-19
reaction_97,Article_8,my Chinese dad,other_individuals,Asian,Cannot be inferred,,2021-04-19
reaction_98,Article_8,boy on the other side of the cafeteria,other_individuals,Cannot be inferred,Support Asian Americans,I told him it was racist.,2021-04-19
reaction_99,Article_8,my bubbe,other_individuals,Non-Asian,Cannot be inferred,,2021-04-19
reaction_100,Article_8,my nai nai,other_individuals,Asian,Cannot be inferred,,2021-04-19
reaction_101,Article_9,President Biden,politicians,Non-Asian,Support Asian Americans,"President Biden addressed the racism, harassment, and hate crimes directed in a video marking the Lunar New Year. It's simply wrong, he said. It's a stain on our national character. Every person, no matter their race, background, religion, or language they speak, deserves to be treated with dignity and respect.",2021-02-13
reaction_102,Article_9,Attorney General Maura Healey,politicians,Non-Asian,Takes actions to stop AAPI hate,"A bill to reform the state's hate crime statute is pending in the Legislature and would expand the law to cover harassment. Attorney General Maura Healey is co-sponsoring the legislation. On Tuesday, she encouraged people to report hate crimes against Asian Americans to her office.",2021-02-13
reaction_103,Article_9,Boston City Councilor Ed Flynn,politicians,Non-Asian,Support Asian Americans,They need to know that we're on their side and we're going to do everything we can to be helpful when there is discrimination and bullying and intimidation or name calling.,2021-02-13
reaction_104,Article_9,Russell Jeung,professionals,Asian,Cannot be inferred,Cannot be inferred,2021-02-13
reaction_105,Article_9,Jessica Wong,professionals,Asian,Support Asian Americans,None of this should ever be tolerated.,2021-02-13
reaction_106,Article_9,Vicha Ratanapakdee,victims,Asian,Cannot be inferred,,2021-02-13
reaction_107,Article_9,Filipino man,victims,Asian,Cannot be inferred,,2021-02-13
reaction_108,Article_9,Asian-American shopper,victims,Asian,Cannot be inferred,,2021-02-13
reaction_109,Article_9,Chinese classmate,victims,Asian,Cannot be inferred,,2021-02-13
reaction_110,Article_9,Sam Hyun,professionals,Asian,Cannot be inferred,,2021-02-13
reaction_111,Article_9,Ben Hires,other_individuals,Cannot be inferred,Calling for being united,"A lot of the folks that are being targeted, they're not going to be able to defend themselves or they're not going to report it so we need to the community speak up for them, Hires said.",2021-02-13
